,kind,code,class_name,prof,room,date1,date2,start,end,kwan
234,전선,PA00053,인턴십 세미나,"박남기
이영아",M201,화,,18:00,18:50,미가엘관
63,교필,AK00055,"비아메디아채플(기독교 사회봉사론: 함께 
맞는 비)",김한승,M205,목,,11:00,11:50,미가엘관
55,교필,AK00055,비아메디아채플(서양음악과 영성),박태영,M205,월,,11:00,11:50,미가엘관
72,전탐,VH00012,수도원 기행,이주엽,M205,화,목,13:30,14:45,미가엘관
241,전필,PC00012,디지털이미지비평,박남기,M301,월,,09:00,11:50,미가엘관
70,전탐,VH00009,키워드로 본 오늘의 중국,장영석,M301,화,목,13:30,14:45,미가엘관
230,전선,PA00039,영상에 활용하는 다이나믹 & 이펙트 효과,박은석,M401,금,,09:00,11:50,미가엘관
46,교필,AC00015,데이터 활용 및 분석,윤명호,M401,금,,12:00,13:50,미가엘관
50,교필,AC00015,데이터 활용 및 분석,윤명호,M401,금,,14:00,15:50,미가엘관
197,전선,ME00031,데이터분석방법론심화,미지정,M401,금,,18:00,20:50,미가엘관
84,전탐,VD00004,디지털드로잉워크숍,이영아,M401,목,,09:00,11:50,미가엘관
229,전필,PA00035,게임제작,김대우,M401,수,,09:00,11:50,미가엘관
226,전선,PA00028,일러스트 작품제작,박인평,M401,수,,12:00,14:50,미가엘관
224,전선,PA00012,컨셉 아트,박인평,M401,수,,15:00,17:50,미가엘관
279,전선,XB00029,통계자료분석 및 실습,윤명호,M401,월,,09:00,11:50,미가엘관
227,전선,PA00032,스토리보드 제작,김서윤,M401,월,,12:00,14:50,미가엘관
222,전선,PA00009,디자인소재연구,이영아,M401,화,,09:00,11:50,미가엘관
160,전선,MB00028,사회조사데이터분석,김이선,M401,화,,12:00,14:50,미가엘관
228,전선,PA00033,실험애니메이션,호중훈,M401,화,,15:00,17:50,미가엘관
200,전선,ME00034,빅데이터와비즈니스모델,미지정,M402,금,,12:00,14:50,미가엘관
60,교필,AK00055,비아메디아채플(인간심리와 기독교 명상),이종민,M402,목,,11:00,11:50,미가엘관
182,전선,ME00005,인적자원관리,윤숙희,M402,수,,09:00,11:50,미가엘관
215,전선,PB00018,영상분석과비평,박소정,M402,수,,12:00,14:50,미가엘관
211,전선,PB00014,영상제작실습 II,연희승,M402,월,수,15:00,16:15,미가엘관
106,전필,LB00006,미국문화와 사회,박미정,M402,월,수,16:30,17:45,미가엘관
95,전탐,VI00022,공업수학,윤명호,M402,월,,12:00,14:50,미가엘관
248,전필,XA00001,데이터통신,정연식,M402,화,목,13:30,14:45,미가엘관
250,전필,XA00003,컴퓨터구조,김학수,M402,화,,09:00,11:50,미가엘관
156,전선,MB00008,역사사회학,오유석,M402,화,,15:00,17:50,미가엘관
196,전선,ME00029,팀창업실제,이예나,M403,금,,09:00,11:50,미가엘관
179,전선,ME00002,글로벌비지니스의 이해,장승권,M403,월,수,12:00,13:15,미가엘관
129,전선,LD00004,중국문화산업,윤영도,M403,화,목,12:00,13:15,미가엘관
173,전필,MD00001,정치학개론,박은홍,M403,화,목,16:30,17:45,미가엘관
137,전필,MA00003,사회복지조사론,김연아,M404,목,,15:00,17:50,미가엘관
171,전선,MC00007,노동경제학,신현준,M404,월,수,12:00,13:15,미가엘관
167,전선,MC00003,문화경제학,신현준,M404,월,수,13:30,14:45,미가엘관
178,전선,MD00030,국제개발협력,윤석준,M404,화,,09:00,11:50,미가엘관
192,전선,ME00021,경영영어,조수미,M406,금,,12:00,14:50,미가엘관
199,전선,ME00033,빅데이터분석실습과팀프로젝트,미지정,M406,금,,15:00,17:50,미가엘관
154,전선,MB00004,젠더사회학,김향수,M406,수,,15:00,17:50,미가엘관
163,전선,MB00037,인공지능과사회,정한별,M406,월,,12:00,14:50,미가엘관
266,전선,XB00004,컴퓨터구조,유상신,M406,화,목,15:00,16:15,미가엘관
268,전선,XB00006,데이터통신,유상신,M406,화,목,16:30,17:45,미가엘관
145,전선,MA00011,노인복지론,남일성,M406,화,,09:00,11:50,미가엘관
191,전선,ME00021,경영영어,조수미,M407,금,,09:00,11:50,미가엘관
183,전선,ME00006,기업과 사회,윤길순,M407,목,,12:00,14:50,미가엘관
157,전선,MB00012,비교사회체제론,배성인,M407,목,,15:00,17:50,미가엘관
112,전필,LB00012,영미문학개론,박미정,M407,월,수,15:00,16:15,미가엘관
57,교필,AK00055,비아메디아채플(예술치료와 영성),이현지,M407,월,,11:00,11:50,미가엘관
140,전필,MA00006,사회복지정책론,은민수,M407,월,,12:00,14:50,미가엘관
141,전필,MA00007,사회복지행정론,황인매,M407,화,,09:00,11:50,미가엘관
142,전필,MA00008,사회복지법제와실천,이호종,M407,화,,15:00,17:50,미가엘관
48,교필,AC00015,데이터 활용 및 분석,임충규,7104,금,,12:00,13:50,새천년관
52,교필,AC00015,데이터 활용 및 분석,이하규,7104,금,,14:00,15:50,새천년관
198,전선,ME00032,머신러닝실습과팀프로젝트,미지정,7104,수,,15:00,17:50,새천년관
11,교필,AK00060,대학생활세미나 II(사회융합4반),차피득,7202,금,,11:00,11:50,새천년관
187,전필,ME00012,마케팅,이상훈,7202,금,,12:00,14:50,새천년관
193,전선,ME00024,서비스 경영,이상훈,7202,금,,15:00,17:50,새천년관
205,전필,PB00008,기사작성과 편집,조도현,7202,목,,09:00,11:50,새천년관
213,전선,PB00016,문화기획과예술경영,양재영,7202,목,,15:00,17:50,새천년관
82,전탐,VS00028,"우리사는경제 어디서 왔을까 2 
:'한국경제의역사적전개'",이상철,7202,수,,09:00,11:50,새천년관
214,전선,PB00017,연극과커뮤니케이션,권정택,7202,월,,15:00,17:50,새천년관
109,전선,LB00009,영어로 읽는 한국 2,권용현,7202,화,,09:00,11:50,새천년관
4,교필,AK00060,대학생활세미나 II(사회융합5반),최우석,7204,금,,10:00,10:50,새천년관
8,교필,AK00060,대학생활세미나 II(사회융합1반),송재민,7204,금,,11:00,11:50,새천년관
190,전선,ME00020,포트폴리오와 투자관리,최우석,7204,금,,12:00,14:50,새천년관
208,전필,PB00010,스피치커뮤니케이션,최진봉,7204,목,,09:00,11:50,새천년관
100,전선,MD00031,신학과정치학의만남,"박은홍
박태식",7204,목,,12:00,14:50,새천년관
159,전선,MB00019,글로벌 사회학,조효제,7204,수,,09:00,11:50,새천년관
158,전선,MB00017,사회과학방법론의 이해,김진업,7204,수,,12:00,14:50,새천년관
207,전필,PB00010,스피치커뮤니케이션,최진봉,7204,월,,09:00,11:50,새천년관
188,전선,ME00014,셀프리더십,염준규,7204,월,,12:00,14:50,새천년관
144,전선,MA00010,정신건강론,박지혜,7204,월,,15:00,17:50,새천년관
203,전선,PB00003,미디어법과정책,김서중,7204,화,,09:00,11:50,새천년관
217,전선,PB00020,소셜미디어와 시민사회,이진순,7204,화,,12:00,14:50,새천년관
5,교필,AK00060,대학생활세미나 II(사회융합6반),강성현,7205,금,,10:00,10:50,새천년관
9,교필,AK00060,대학생활세미나 II(사회융합2반),조미혜,7205,금,,11:00,11:50,새천년관
209,전선,PB00011,PR캠페인실습,최진봉,7205,금,,12:00,14:50,새천년관
181,전필,ME00003,경영정보시스템,송재민,7205,금,,15:00,17:50,새천년관
136,전필,MA00002,지역사회복지론,남일성,7205,목,,09:00,11:50,새천년관
155,전필,MB00006,사회학개론,조미혜,7205,수,,09:00,11:50,새천년관
216,전선,PB00019,광고캠페인,유은아,7205,수,,12:00,14:50,새천년관
58,교필,AK00055,비아메디아채플(함께 나누는 세상),양승우,7205,월,,11:00,11:50,새천년관
114,전선,LB00026,영어발달사,김성찬,7205,화,목,15:00,16:15,새천년관
110,전선,LB00010,영어교수법및학습법 II,김성찬,7205,화,목,16:30,17:45,새천년관
37,교필,AC00007,인권과평화,강성현,7205,화,,10:00,11:50,새천년관
135,전필,MA00001,인간행동과사회환경,김은영,7205,화,,12:00,14:50,새천년관
6,교필,AK00060,대학생활세미나 II(사회융합7반),오현화,7206,금,,10:00,10:50,새천년관
10,교필,AK00060,대학생활세미나 II(사회융합3반),양경은,7206,금,,11:00,11:50,새천년관
139,전필,MA00005,사회복지실천기술론,장희숙,7206,금,,12:00,14:50,새천년관
218,전선,PB00043,커뮤니케이션 사상사,조은기,7206,수,,09:00,11:50,새천년관
102,전선,LB00001,영화로 읽는 셰익스피어,박미정,7206,월,수,12:00,13:15,새천년관
78,전탐,VS00010,경제학의 초대,유철규,7206,월,수,13:30,14:45,새천년관
111,전선,AD00039,서양문학의 흐름,조병은,7206,월,수,15:00,16:15,새천년관
219,전선,PB00044,"4차 산업혁명과 디지털 미디어 
플랫폼",조은기,7206,월,,09:00,11:50,새천년관
204,전필,PB00006,미디어조사방법,조은기,7206,화,,09:00,11:50,새천년관
189,전필,ME00017,조직행동,"장승권
정선영",7206,화,,12:00,14:50,새천년관
243,전선,PC00015,뉴미디어와마케팅,김선구,7206,화,,15:00,17:50,새천년관
75,전탐,VS00002,"헷갈리는 사회문제 깊이 
들여다보기",박경태,7207,목,,09:00,11:50,새천년관
59,교필,AK00055,비아메디아채플(성공회 이야기),노철래,7207,월,,11:00,11:50,새천년관
83,전탐,VS00029,사회복지와인권,양경은,7207,화,목,12:00,13:15,새천년관
143,전선,MA00009,아동복지론,양경은,7207,화,목,13:30,14:45,새천년관
74,전탐,VS00001,영상으로보는정치의세계,이지윤,7207,화,,09:00,11:50,새천년관
236,전선,PC00002,콘텐츠프로듀싱실무론,곽미서,7208,금,,09:00,11:50,새천년관
86,전탐,VM00003,민주주의와 저널리즘,김서중,7208,목,,09:00,11:50,새천년관
101,전선,AD00105,온라인게임과종교적상징,김한나,7208,수,,15:00,17:50,새천년관
66,전탐,VH00004,영미문학기행,조병은,7208,월,수,12:00,13:15,새천년관
76,전탐,VS00007,사회학의 초대,조효제,7208,월,,09:00,11:50,새천년관
164,전선,AK00064,다양성과소수자,박경태,7208,화,목,13:00,14:45,새천년관
81,전탐,VS00013,사회복지학개론,조남경,7208,화,목,15:00,16:15,새천년관
73,전탐,VH00031,종교심리학,이주엽,7208,화,목,16:30,17:45,새천년관
39,교필,AC00007,인권과평화,신익상,7208,화,,10:00,11:50,새천년관
165,전선,MC00001,거시경제학(국민소득론),유철규,7301,월,수,15:00,16:15,새천년관
98,전선,LA00036,그리스도교신학개론II,차보람,7301,월,,12:00,14:50,새천년관
121,전선,LC00007,일본원서 강독2,권혁태,7301,화,목,13:30,14:45,새천년관
169,전필,MC00005,경제학개론,유철규,7301,화,목,16:30,17:45,새천년관
119,전선,LC00004,일본근현대사,권혁태,7301,화,,09:00,11:50,새천년관
7,교필,AK00060,대학생활세미나 II(사회융합8반),조경희,7302,금,,10:00,10:50,새천년관
107,전선,LB00007,영어다독II,김혜인,7302,금,,12:00,14:50,새천년관
126,전선,LC00026,한일문화콘텐츠통번역2,박미숙,7302,목,,15:00,17:50,새천년관
124,전필,LC00010,일본학세미나,장화경,7302,수,,09:00,11:50,새천년관
125,전필,LC00011,일본학입문,장화경,7302,월,수,12:00,13:15,새천년관
115,전필,LB00027,영작문2,김혜인,7302,화,목,12:00,13:15,새천년관
130,전선,LD00005,중국어 회화I,장엽,7302,화,목,13:30,14:45,새천년관
99,전선,LA00037,과학과기독교의대화,김기석,7302,화,,09:00,11:50,새천년관
118,전선,LC00003,일본근현대문학의 이해,박은희,7302,화,,15:00,17:50,새천년관
123,전선,LC00009,일본지방론,양기호,7303,목,,09:00,11:50,새천년관
120,전선,LC00006,일본어표현연습,"요코야마 
나호코",7303,월,수,13:30,14:45,새천년관
117,전선,LC00002,스크린일본어,"요코야마 
나호코",7303,화,목,12:00,13:15,새천년관
122,전선,LC00008,일본정치론,양기호,7303,화,목,13:30,14:45,새천년관
116,전선,LC00001,세계와 일본,양기호,7303,화,,09:00,11:50,새천년관
12,교필,AK00060,대학생활세미나 II(인문융합5반),김혜인,7304,금,,10:00,10:50,새천년관
15,교필,AK00060,대학생활세미나 II(인문융합1반),김혜인,7304,금,,11:00,11:50,새천년관
97,전선,LA00035,종교와사회복지,"노철래
한지수",7304,목,,09:00,11:50,새천년관
138,전필,MA00004,사회복지실천론,장희숙,7304,수,,12:00,14:50,새천년관
206,전선,PB00009,저작권과지적재산권,김정훈,7304,수,,15:00,17:50,새천년관
166,전필,MC00002,경제학세미나 I,유철규,7304,월,,09:00,11:50,새천년관
180,전선,ME00002,글로벌비지니스의 이해,정은재,7304,월,,15:00,17:50,새천년관
