"이수
구분",과목코드,"분
반",교과목명,교수명,강의실/시간
교필,AK00055,01,비아메디아채플(나와 타인 이해하기),이남호,1505 / 월 / 11:00~11:50
교필,AK00055,02,비아메디아채플(리더쉽의 영성),김한승,7309 / 월 / 11:00~11:50
교필,AK00055,03,비아메디아채플(서양음악과 영성),박태영,M205 / 월 / 11:00~11:50
교필,AK00055,04,"비아메디아채플(음악이 들려주는 
성서이야기)",차피득,9301 / 월 / 11:00~11:50
교필,AK00055,05,비아메디아채플(예술치료와 영성),이현지,M407 / 월 / 11:00~11:50
교필,AK00055,06,비아메디아채플(함께 나누는 세상),양승우,7205 / 월 / 11:00~11:50
교필,AK00055,07,비아메디아채플(성공회 이야기),노철래,7207 / 월 / 11:00~11:50
교필,AK00055,08,비아메디아채플(인간심리와 기독교 명상),이종민,M402 / 목 / 11:00~11:50
교필,AK00055,09,"비아메디아채플(쟁점으로 만나는 
그리스도교)",김종훈,3401 / 목 / 11:00~11:50
교필,AK00055,10,"비아메디아채플(정신분석으로 바라본 
애착관계와 영성)",김미희,3502 / 목 / 11:00~11:50
교필,AK00055,11,"비아메디아채플(기독교 사회봉사론: 함께 
맞는 비)",김한승,M205 / 목 / 11:00~11:50
교필,AK00055,12,"비아메디아채플(기독교 사회관계론: 더 
큰 나,  우리)",김한승,6110 / 목 / 14:00~14:50
