kind,code,num,class_name,prof,room_time
전탐,VH00002,01,일본의 이해,권혁태,7308 / 목 / 09:00~11:50
전탐,VH00004,01,영미문학기행,조병은,"7208 / 월 / 12:00~13:15
7208 / 수 / 12:00~13:15"
전탐,VH00005,01,일본의 생활문화,장화경,"7309 / 월 / 13:30~14:45
7309 / 수 / 13:30~14:45"
전탐,VH00006,01,네이티브 일본어회화,"요코야마 
나호코","7309 / 화 / 13:30~14:45
7309 / 목 / 13:30~14:45"
전탐,VH00008,01,English Pronunciation,김혜인,"7308 / 화 / 13:30~14:45
7308 / 목 / 13:30~14:45"
전탐,VH00009,01,키워드로 본 오늘의 중국,장영석,"M301 / 화 / 13:30~14:45
M301 / 목 / 13:30~14:45"
전탐,VH00010,01,쉽게 배우는 중국어,장엽,"7309 / 월 / 16:30~17:45
7309 / 수 / 16:30~17:45"
전탐,VH00012,01,수도원 기행,이주엽,"M205 / 화 / 13:30~14:45
M205 / 목 / 13:30~14:45"
전탐,VH00031,01,종교심리학,이주엽,"7208 / 화 / 16:30~17:45
7208 / 목 / 16:30~17:45"
전탐,VS00001,01,영상으로보는정치의세계,이지윤,7207 / 화 / 09:00~11:50
전탐,VS00002,01,"헷갈리는 사회문제 깊이 
들여다보기",박경태,7207 / 목 / 09:00~11:50
전탐,VS00007,01,사회학의 초대,조효제,7208 / 월 / 09:00~11:50
전탐,VS00009,01,정치학의 초대,윤석준,"3502 / 화 / 13:30~14:45
3502 / 목 / 13:30~14:45"
전탐,VS00010,01,경제학의 초대,유철규,"7206 / 월 / 13:30~14:45
7206 / 수 / 13:30~14:45"
전탐,VS00011,01,생활과 금융,최우석,"7309 / 화 / 15:00~16:15
7309 / 목 / 15:00~16:15"
전탐,VS00012,01,경제환경과 기업경영,이웅,7308 / 화 / 15:00~17:50
전탐,VS00013,01,사회복지학개론,조남경,"7208 / 화 / 15:00~16:15
7208 / 목 / 15:00~16:15"
전탐,VS00028,01,"우리사는경제 어디서 왔을까 2 
:'한국경제의역사적전개'",이상철,7202 / 수 / 09:00~11:50
전탐,VS00029,01,사회복지와인권,양경은,"7207 / 화 / 12:00~13:15
7207 / 목 / 12:00~13:15"
전탐,VD00004,01,디지털드로잉워크숍,이영아,M401 / 목 / 09:00~11:50
전탐,VM00002,01,커뮤니케이션의 이해,김서중,7308 / 수 / 09:00~11:50
전탐,VM00003,01,민주주의와 저널리즘,김서중,7208 / 목 / 09:00~11:50
전탐,VM00004,01,뉴미디어를 위한 아트 앤 테크닉,김대우,"6403 / 월 / 13:30~14:45
6403 / 수 / 13:30~14:45"
전탐,VI00002,01,Python 프로그래밍,박경호,6206 / 수 / 09:00~11:50
전탐,VI00002,02,Python 프로그래밍,이하규,"6406 / 월 / 15:00~16:15
6406 / 수 / 15:00~16:15"
전탐,VI00002,03,Python 프로그래밍,홍성준,"6405 / 화 / 12:00~13:15
6405 / 목 / 12:00~13:15"
전탐,VI00003,01,컴퓨터조립 및 활용,정인철,6406 / 목 / 09:00~11:50
전탐,VI00005,01,웹 개발 입문,이해신,6206 / 금 / 09:00~11:50
전탐,VI00005,02,웹 개발 입문,김선형,6206 / 금 / 12:00~14:50
전탐,VI00019,01,데이터기초수학1,이상윤,"6405 / 월 / 15:00~16:15
6405 / 수 / 15:00~16:15"
전탐,VI00022,01,공업수학,윤명호,M402 / 월 / 12:00~14:50
"전탐, 전선",XA00005,01,C++프로그래밍,김학수,"6201 / 월 / 16:30~17:45
6201 / 수 / 16:30~17:45"
전선,LA00035,01,종교와사회복지,"노철래
한지수",7304 / 목 / 09:00~11:50
전선,LA00036,01,그리스도교신학개론II,차보람,7301 / 월 / 12:00~14:50
전선,LA00037,01,과학과기독교의대화,김기석,7302 / 화 / 09:00~11:50
전선,MD00031,01,신학과정치학의만남,"박은홍
박태식",7204 / 목 / 12:00~14:50
전선,AD00105,01,온라인게임과종교적상징,김한나,7208 / 수 / 15:00~17:50
전선,LB00001,01,영화로 읽는 셰익스피어,박미정,"7206 / 월 / 12:00~13:15
7206 / 수 / 12:00~13:15"
전필,LB00003,01,영어독서지도,김성찬,7306 / 목 / 12:00~13:50
전필,LB00004,01,영어문장이해II,김성찬,7308 / 화 / 09:00~11:50
전선,LB00005,01,영미문학: 자연과 인간,조병은,1503 / 화 / 09:00~11:50
전필,LB00006,01,미국문화와 사회,박미정,"M402 / 월 / 16:30~17:45
M402 / 수 / 16:30~17:45"
전선,LB00007,01,영어다독II,김혜인,7302 / 금 / 12:00~14:50
전필,LB00008,01,영어 다의어 2: 알맹이와 껍데기,권용현,7309 / 수 / 09:00~11:50
전선,LB00009,01,영어로 읽는 한국 2,권용현,7202 / 화 / 09:00~11:50
전선,LB00010,01,영어교수법및학습법 II,김성찬,"7205 / 화 / 16:30~17:45
7205 / 목 / 16:30~17:45"
전선,AD00039,01,서양문학의 흐름,조병은,"7206 / 월 / 15:00~16:15
7206 / 수 / 15:00~16:15"
전필,LB00012,01,영미문학개론,박미정,"M407 / 월 / 15:00~16:15
M407 / 수 / 15:00~16:15"
전선,LB00013,01,언어와 커뮤니케이션1,권용현,7309 / 목 / 09:00~11:50
