"이수
구분",과목코드,"분
반",교과목명,교수명,강의실/시간
교필,AC00013,01,말과글,오현화,1503 / 목 / 09:00~10:50
교필,AC00013,02,말과글,최종환,1504 / 목 / 09:00~10:50
교필,AC00013,03,말과글,곽승숙,7305 / 수 / 09:00~10:50
교필,AC00013,04,말과글,오현화,1503 / 목 / 11:00~12:50
교필,AC00013,05,말과글,최종환,1504 / 목 / 11:00~12:50
교필,AC00013,06,말과글,곽승숙,7305 / 수 / 11:00~12:50
교필,AC00013,07,말과글,오현화,1503 / 수 / 09:00~10:50
교필,AC00013,08,말과글,신동옥,1504 / 수 / 09:00~10:50
교필,AC00013,09,말과글,오현화,1503 / 수 / 11:00~12:50
교필,AC00013,10,말과글,신동옥,1504 / 수 / 11:00~12:50
교필,AC00007,01,인권과평화,강성현,7205 / 화 / 10:00~11:50
교필,AC00007,02,인권과평화,조경희,3402 / 화 / 10:00~11:50
교필,AC00007,03,인권과평화,신익상,7208 / 화 / 10:00~11:50
교필,AC00007,04,인권과평화,이남주,7309 / 화 / 10:00~11:50
교필,AC00016,01,과학기술과 에콜로지,김병수,3402 / 금 / 12:00~13:50
교필,AC00016,02,과학기술과 에콜로지,"김명철
신익상",3502 / 금 / 12:00~13:50
교필,AC00016,03,과학기술과 에콜로지,"김명철
신익상",3402 / 금 / 14:00~15:50
교필,AC00016,04,과학기술과 에콜로지,"김명철
신익상",3502 / 금 / 14:00~15:50
교필,AC00015,01,데이터 활용 및 분석,이해신,B105 / 금 / 12:00~13:50
교필,AC00015,02,데이터 활용 및 분석,윤명호,M401 / 금 / 12:00~13:50
교필,AC00015,03,데이터 활용 및 분석,박정식,3302 / 금 / 12:00~13:50
교필,AC00015,04,데이터 활용 및 분석,임충규,7104 / 금 / 12:00~13:50
교필,AC00015,05,데이터 활용 및 분석,이해신,B105 / 금 / 14:00~15:50
교필,AC00015,06,데이터 활용 및 분석,윤명호,M401 / 금 / 14:00~15:50
교필,AC00015,07,데이터 활용 및 분석,박정식,3302 / 금 / 14:00~15:50
교필,AC00015,08,데이터 활용 및 분석,이하규,7104 / 금 / 14:00~15:50
