"이수
구분",과목코드,"분
반",교과목명,교수명,강의실/시간
교필,AK00060,01,대학생활세미나 II(미디어융합3반),최진봉,3301 / 금 / 10:00~10:50
교필,AK00060,02,대학생활세미나 II(미디어융합4반),이영아,3402 / 금 / 10:00~10:50
교필,AK00060,03,대학생활세미나 II(미디어융합1반),최진봉,3301 / 금 / 11:00~11:50
교필,AK00060,04,대학생활세미나 II(미디어융합2반),이영아,3402 / 금 / 11:00~11:50
교필,AK00060,05,대학생활세미나 II(사회융합5반),최우석,7204 / 금 / 10:00~10:50
교필,AK00060,06,대학생활세미나 II(사회융합6반),강성현,7205 / 금 / 10:00~10:50
교필,AK00060,07,대학생활세미나 II(사회융합7반),오현화,7206 / 금 / 10:00~10:50
교필,AK00060,08,대학생활세미나 II(사회융합8반),조경희,7302 / 금 / 10:00~10:50
교필,AK00060,09,대학생활세미나 II(사회융합1반),송재민,7204 / 금 / 11:00~11:50
교필,AK00060,10,대학생활세미나 II(사회융합2반),조미혜,7205 / 금 / 11:00~11:50
교필,AK00060,11,대학생활세미나 II(사회융합3반),양경은,7206 / 금 / 11:00~11:50
교필,AK00060,12,대학생활세미나 II(사회융합4반),차피득,7202 / 금 / 11:00~11:50
교필,AK00060,13,대학생활세미나 II(인문융합5반),김혜인,7304 / 금 / 10:00~10:50
교필,AK00060,14,대학생활세미나 II(인문융합6반),윤영도,7305 / 금 / 10:00~10:50
교필,AK00060,16,대학생활세미나 II(인문융합8반),차피득,7307 / 금 / 10:00~10:50
교필,AK00060,17,대학생활세미나 II(인문융합1반),김혜인,7304 / 금 / 11:00~11:50
교필,AK00060,18,대학생활세미나 II(인문융합2반),윤영도,7305 / 금 / 11:00~11:50
교필,AK00060,19,대학생활세미나 II(인문융합3반),이주엽,7306 / 금 / 11:00~11:50
교필,AK00060,20,대학생활세미나 II(인문융합4반),양기호,7307 / 금 / 11:00~11:50
교필,AK00060,21,대학생활세미나 II(IT융합5반),김선형,6402 / 금 / 10:00~10:50
교필,AK00060,22,대학생활세미나 II(IT융합6반),이하규,6404 / 금 / 10:00~10:50
교필,AK00060,23,대학생활세미나 II(IT융합7반),정연식,6109 / 금 / 10:00~10:50
교필,AK00060,24,대학생활세미나 II(IT융합8반),이상윤,6405 / 금 / 10:00~10:50
교필,AK00060,25,대학생활세미나 II(IT융합1반),김선형,6402 / 금 / 11:00~11:50
교필,AK00060,26,대학생활세미나 II(IT융합2반),이하규,6404 / 금 / 11:00~11:50
교필,AK00060,27,대학생활세미나 II(IT융합3반),정연식,6109 / 금 / 11:00~11:50
교필,AK00060,28,대학생활세미나 II(IT융합4반),이상윤,6405 / 금 / 11:00~11:50
