"이수
구분",과목코드,교과목명,교수명,강의실/시간
전탐,VS00013,사회복지학개론,조남경,"7309 / 화요일 / 15:00~16:15
7309 / 목요일 / 15:00~16:15"
전탐,VS00016,"우리 사는 경제 어디서 왔을까 1: 
시장경제의 기원과 변모",이상철,"3402 / 화요일 / 13:30~14:45
3402 / 목요일 / 13:30~14:45"
전탐,VS00019,전공탐색세미나(사회학),박경태,7205 / 금요일 / 12:00~12:50
전탐,VS00020,전공탐색세미나(경제학),유철규,7305 / 월요일 / 11:00~11:50
전탐,VS00021,전공탐색세미나(정치학),박은홍,7305 / 수요일 / 18:25~19:15
전탐,VS00022,전공탐색세미나(사회복지학전공),남일성,M205 / 월요일 / 15:00~15:50
전탐,VS00023,전공탐색세미나(경영학전공),"송재민
장승권
최우석
박상선
이상윤",M205 / 화요일 / 11:00~11:50
전탐,VD00003,디지털기초디자인,박남기,M401 / 목요일 / 09:00~11:50
전탐,VD00003,디지털기초디자인,미지정,6403 / 월요일 / 15:00~17:50
전탐,VM00009,전공탐색세미나(신문방송학전공),미지정,M301 / 화요일 / 15:00~15:50
전탐,VM00010,전공탐색세미나(디지털콘텐츠전공),박남기,6403 / 화요일 / 18:00~18:50
전탐,VI00007,사물인터넷기초,유상신,"6406 / 화요일 / 15:00~16:15
6406 / 목요일 / 15:00~16:15"
전탐,VI00010,전공탐색세미나(컴퓨터공학전공),임충규,6201 / 월요일 / 18:25~19:15
전탐,VI00011,전공탐색세미나(소프트웨어공학전공),유상신,6201 / 목요일 / 18:25~19:15
전탐,VI00012,전공탐색세미나(정보통신공학전공),박정식,6404 / 화요일 / 18:25~19:15
전탐,VI00016,Java프로그래밍,이하규,"6406 / 월요일 / 12:00~13:15
6406 / 수요일 / 12:00~13:15"
전탐,VI00017,전공탐색세미나(인공지능전공),이상윤,6206 / 목요일 / 18:25~19:15
전탐,VI00018,인공지능입문,미지정,"6206 / 화요일 / 13:30~14:45
6206 / 목요일 / 13:30~14:45"
전탐,VI00021,이산수학,윤명호,3401 / 월요일 / 12:00~14:50
전선,LA00031,인공지능시대의종교와미디어의미래,"이주엽
최영묵",7205 / 목요일 / 09:00~11:50
전선,LA00038,공감,"신익상
박경태
박남기",1504 / 화요일 / 15:00~17:50
전선,LA00039,"그리스도교의역사와사상:고대와중세
의신학",차보람,"7303 / 월요일 / 13:30~14:45
7303 / 수요일 / 13:30~14:45"
전선,LA00040,자아초월심리학과범심론,이주엽,"3502 / 화요일 / 13:30~14:45
3502 / 목요일 / 13:30~14:45"
전선,LA00041,종교로읽는전쟁과평화,김기석,7303 / 화요일 / 09:00~11:50
전필,LB00012,영미문학개론,박미정,"7309 / 월요일 / 15:00~16:15
7309 / 수요일 / 15:00~16:15"
전선,LB00016,영어다독I,김혜인,7302 / 토요일 / 12:00~14:50
전선,LB00018,영어로읽는한국1,이원석,7202 / 금요일 / 12:00~14:50
전선,LB00019,영어문장이해I,김성찬,3502 / 화요일 / 09:00~11:50
전선,LB00020,영어학개론,김성찬,"7202 / 화요일 / 15:00~16:15
7202 / 목요일 / 15:00~16:15"
전선,LB00021,영어교수법및학습법1,김성찬,"7202 / 화요일 / 16:30~17:45
7202 / 목요일 / 16:30~17:45"
전필,LB00022,영작문I,김혜인,"7305 / 화요일 / 12:00~13:15
7305 / 목요일 / 12:00~13:15"
전선,LB00023,현대문명과문학,조병은,7202 / 화요일 / 12:00~14:50
전선,LB00024,환타지와문학,진영종,7308 / 목요일 / 09:00~11:50
전선,LB00025,Speech & Presentations,김혜인,"7305 / 화요일 / 13:30~14:45
7305 / 목요일 / 13:30~14:45"
전필,LB00028,영어다의어1:알맹이와껍데기,이원석,7208 / 월요일 / 09:00~11:50
전필,LC00011,일본학입문,양기호,7302 / 금요일 / 12:00~14:50
전선,LC00012,일본문학사,박은희,7303 / 화요일 / 15:00~17:50
전선,LC00013,현대일본론,권혁태,"7302 / 화요일 / 13:30~14:45
7302 / 목요일 / 13:30~14:45"
전선,LC00014,일본평화론,조경희,"7303 / 화요일 / 13:30~14:45
7303 / 목요일 / 13:30~14:45"
전선,LC00016,비즈니스일본어,"요코야마나
호코","7302 / 월요일 / 15:00~16:15
7302 / 수요일 / 15:00~16:15"
전선,LC00017,일본어한자,"요코야마나
호코","7302 / 월요일 / 16:30~17:45
7302 / 수요일 / 16:30~17:45"
전선,LC00019,일본의시사쟁점,양기호,7302 / 목요일 / 09:00~11:50
전선,LC00020,일본문화론,김남은,7302 / 수요일 / 12:00~14:50
전선,LC00024,일본사회론,권연이,7302 / 월요일 / 12:00~14:50
전선,LC00025,한일문화콘텐츠통번역1,박미숙,7302 / 목요일 / 15:00~17:50
전필,LD00011,중국과세계,이남주,"7206 / 화요일 / 12:00~13:15
7206 / 목요일 / 12:00~13:15"
전선,LD00012,중국지역톺아보기,장영석,"7206 / 화요일 / 15:00~16:15
7206 / 목요일 / 15:00~16:15"
전선,LD00016,중국영화의이해,윤영도,"7206 / 월요일 / 12:00~13:15
7206 / 수요일 / 12:00~13:15"
