,kind,code,classname,prof,room,date1,date2,start,end,kwan
8,교필,AC00013,말과글,오현화,1503,목,,09:00,10:50,승연관
12,교필,AC00013,말과글,성아사,1505,목,,09:00,10:50,승연관
4,교필,AC00013,말과글,오현화,1503,수,,09:00,10:50,승연관
6,교필,AC00013,말과글,곽승숙,1504,수,,09:00,10:50,승연관
10,교필,AC00013,말과글,신동옥,1504,수,,09:00,10:50,승연관
127,평교,AG00003,평생교육실습,임정아,1503,금,,09:00,11:50,승연관
265,전선,ME00021,경영영어,조수미,1505,금,,09:00,11:50,승연관
158,전탐,BI00002,웹개발입문,이해신,6202,금,,09:00,11:50,정보과학관
356,전선,BI00002,웹개발입문,이해신,6202,금,,09:00,11:50,정보과학관
342,전선,XB00018,시스템분석 및 설계,문성현,6206,금,,09:00,11:50,정보과학관
364,전선,XC00025,임베디드시스템,이종현,6406,금,,09:00,11:50,정보과학관
67,교선,AK00039,기후위기의이해,김병수,7202,금,,09:00,11:50,새천년관
276,전필,PB00010,스피치커뮤니케이션,최진봉,7302,금,,09:00,11:50,새천년관
305,전선,PC00002,콘텐츠프로듀싱실무론,곽미서,6110,금,,09:00,11:50,정보과학관
299,전선,PA00039,영상에 활용하는다이나믹&이펙트 효과,박은석,6403,금,,09:00,11:50,정보과학관
61,교선,AK00096,비트코인과블록체인,박경호,3302,목,,09:00,11:50,월당관
155,전탐,BD00009,디자인언포게터블캐릭터,이원정,6110,목,,09:00,11:50,정보과학관
324,전선,XA00022,네트워크 프로그래밍,정연식,6201,목,,09:00,11:50,정보과학관
157,전탐,BI00002,웹개발입문,이해신,6202,목,,09:00,11:50,정보과학관
333,전필,XB00002,자료구조,김명철,6206,목,,09:00,11:50,정보과학관
378,전선,XE00019,디지털영상처리,곽승우,6405,목,,09:00,11:50,정보과학관
369,전선,XC00038,컴퓨터조립및활용,정인철,6406,목,,09:00,11:50,정보과학관
64,교선,AF00037,자연과 생명,김병수,7202,목,,09:00,11:50,새천년관
